"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R109,R108,R105,R311";"R_0402_1005Metric";4;"650";;;
2;"LED103,LED102,LED101,LED301";"LEDC1608X80N";4;"150060AS75000";;;
3;"R107,R309";"R_0402_1005Metric";2;"13K";;;
4;"R106,R310,R308";"R_0402_1005Metric";3;"40.2K";;;
5;"C108,C106,C102,C209,C207,C208,C101,C201,C104,C105,C402,C210,C401,C404";"C_0402_1005Metric";14;"100n";;;
6;"FB101";"NFZ15SG152SN10B";1;"BLM15AX102SZ1D";;;
7;"C107";"C_0402_1005Metric";1;"1u";;;
8;"D301";"SOD123W";1;"PTVS12VS1UR,115";;;
9;"R307";"R_0402_1005Metric";1;"7.68k";;;
10;"R306,R305";"R_0402_1005Metric";2;"47K";;;
11;"R304,R303";"R_0402_1005Metric";2;"100K";;;
12;"R302,R301";"R_0402_1005Metric";2;"10";;;
13;"L302,L301";"VLS3015";2;"VLS3015CX-4R7M-1";;;
14;"IC302,IC301";"MP1479GTFZ";2;"MP1479GTF-Z";;;
15;"C306,C305";"C_0603_1608Metric";2;"1u";;;
16;"C304,C303,C302,C301";"C_0805_2012Metric";4;"22u";;;
17;"C204,C205,C206,C203,C202";"C_0805_2012Metric";5;"10u";;;
18;"R101,R205,R204,R202,R210,R207,R206,R201,R203";"R_0402_1005Metric";9;"100k";;;
19;"D102,D103,D101";"SODFL1006X40N";3;"ESD9X12ST5G";;;
20;"D401,D403,D404";"SODFL1006X40N";3;"SZESD8351P2T5G";;;
21;"IC101";"QFN50P500X500X60-33N-D";1;"STM32L431KBU6";;;
22;"R405,R208,R403,R401";"R_0402_1005Metric";4;"220";;;
23;"J101";"B8BPHKSLFSN";1;"B8B-PH-K-S_LF__SN_";;;
24;"C403,C103";"C_0603_1608Metric";2;"2.2u";;;
25;"R212";"ERJ6_B_BW_R_LW_CW_D";1;"ERJ-6DSFR12V";;;
26;"J104";"HUSSP6W41P127_2X3_381X343X440P";1;"20021121-00006T4LF";;;
27;"H101,H102";"MountingHole_3.2mm_M3";2;"MountingHole";;;
28;"IC201";"QFN40P300X300X90-21N";1;"TMC6300-LA";;;
29;"D402";"SODFL1006X40N";1;"SZESD9101P2T5G";;;
30;"R103,R402,R102,R104,R406,R404,R209";"R_0402_1005Metric";7;"2.2k";;;
31;"J103";"SHDR2W50P0X200_1X2_590X450X600P";1;"B2B-PH-K-S_LF__SN_";;;
32;"TP207,TP201,TP202,TP204,TP206,TP203,TP205";"TestPoint_Pad_D1.0mm";7;"TestPoint";;;
33;"R211";"R_0402_1005Metric";1;"27k";;;
34;"IC202";"SOT95P280X145-5N";1;"TLV8541DBVR";;;
35;"J102";"SHDR3W50P0X200_1X3_790X450X600P";1;"B3B-PH-K-S_LF__SN_";;;
